id,neighbourhood_group,room_type,price,rating,bedrooms,beds,baths,reviews_per_month,price_pred,residual,RPI,EI,RPI_by_neigh_group
4824361,Brooklyn,Private room,79,5,1,1,1.5,0.13,123.99767909303968,-44.99767909,-0.435793431,0.008843036,-0.472586746
22231811,Manhattan,Entire home/apt,245,4.81,1,1,1,0.63,189.8569373495298,55.14306265,0.5340494206913956,0.008214096,0.43143939837712214
618029927103390496,Brooklyn,Private room,49,4.89,1,1,1,0.98,94.54248666579267,-45.54248667,-0.441069782,0.071481209,-0.47830857
32252006,Queens,Entire home/apt,90,5,1,1,1,0.15,131.07930369430667,-41.07930369,-0.397844757,0.008403361,-0.578116198
736479219797807190,Brooklyn,Private room,90,4.93,1,1,1,3.55,96.20034109905183,-6.200341099,-0.060049051,0.2608695651981673,-0.065118892
26235873,Queens,Entire home/apt,80,4.81,1,2,1,0.46,141.4929997909567,-61.49299979,-0.595547279,0.027010804320107395,-0.8654017
754967751881719122,Manhattan,Entire home/apt,125,5,2,3,1,2.43,266.8657897997723,-141.8657898,-1.373941512,0.032061473,-1.109958135
18142309,Brooklyn,Entire home/apt,100,5,0,1,1,0.17,121.78969837136111,-21.78969837,-0.211028826,0.011790714811216602,-0.228845639
969046191401522947,Brooklyn,Private room,300,4.88,3,3,1,1.79,195.81910153273864,104.18089846726136,1.0089709529957307,0.1311717022747847,1.0941566933616198
832686286310710425,Brooklyn,Private room,276,,3,3,3,0.14,,,,0.009579956,
1245479,Brooklyn,Private room,297,4.98,1,1,1,1.3,98.27265914062582,198.72734085937418,1.9246341454445852,0.095062638,2.087127807057344
46177828,Manhattan,Entire home/apt,140,4.51,2,4,1,1.14,264.84557764697854,-124.8455776,-1.209104196,0.014970853205948981,-0.976791972
45738048,Manhattan,Entire home/apt,100,4.86,0,1,1,0.91,159.37222080810446,-59.37222081,-0.575007963,0.011923688,-0.464528338
782703731135941912,Brooklyn,Private room,100,5,1,1,1.5,0.73,123.99767909303968,-23.99767909,-0.232412674,0.053058217,-0.252034889
12701430,Bronx,Shared room,75,4.68,1,1,1,0.8,43.88913388,31.110866118038302,0.3013024527284784,0.10748299318265538,0.4667722395655279
895570784789626480,Manhattan,Entire home/apt,150,4.88,1,1,1,2.14,192.75818260773335,-42.75818261,-0.41410436,0.028219396,-0.33454008
6492778,Brooklyn,Entire home/apt,250,4.49,2,3,1,1.8,202.3431328225675,47.65686718,0.46154713004243836,0.13190862195048572,0.5005147870098322
43777456,Manhattan,Entire home/apt,119,4.86,0,2,1,0.17,177.6607254627355,-58.66072546,-0.568117274,0.002119767,-0.458961597
46035379,Manhattan,Entire home/apt,110,4.64,2,4,1,1.45,270.2336045550708,-160.2336046,-1.551830087,0.019077901430589853,-1.253667943
14968436,Manhattan,Private room,100,4.49,1,1,1,1.39,121.34895528635144,-21.34895529,-0.206760319,0.018282988870981943,-0.167034256
